STATEWIDE COUNTY REPORT,,,,,,,,,,,,,,
,,,Total,% Index,,,,,,,Motor,Crime Rate,% Rate,Clearance
January - December 2021,,,Crime,Change,,,,Aggravated,,,Vehicle,"Per 100,00",Change,Rate /
Annual Report,Year,Population,Index,2020/2021,Murder,Rape,Robbery,Assault(1),Burglary,Larceny,Theft,Population,2020/2021,100 Offenses
,,,,,,,,,,,,,,
FL031,2021,"161,702","1,821",-13.2,5,18,36,170,172,"1,320",100,"1,126.1",-14.8,26.5
 - Indian River County 2021 estimate based upon data representing 89.9% of population,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Jackson County,2020,"46,587",374,,1,7,4,105,103,135,19,802.8,,28.1
FL032,2021,"47,198",--,--,--,--,--,--,--,--,--,--,--,--
 - Jackson County 2021 estimate unavailable due to limited size of data sample (22.1% of population),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Jefferson County,2020,"14,394",346,,0,6,0,106,71,145,18,"2,403.8",,45.7
FL033,2021,"14,590",255,-26.3,2,4,2,70,51,113,13,"1,747.8",-27.3,47.1
 - Jefferson County 2021 estimate based upon data representing 100.0% of population,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Lafayette County,2020,"8,690",47,,0,0,2,24,9,10,2,540.9,,87.2
FL034,2021,"7,937",--,--,--,--,--,--,--,--,--,--,--,--
 - Lafayette County 2021 estimate unavailable due to limited size of data sample (0.0% of population),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Lake County,2020,"366,742","6,341",,18,138,130,687,"1,035","3,799",534,"1,729.0",,26.3
FL035,2021,"400,142",--,--,--,--,--,--,--,--,--,--,--,--
 - Lake County 2021 estimate unavailable due to limited size of data sample (19.0% of population),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Lee County,2020,"750,493","10,218",,32,239,304,"1,525","1,180","6,167",771,"1,361.5",,29.0
FL036,2021,"782,579","10,250",0.3,28,314,303,"1,552","1,181","6,173",699,"1,309.8",-3.8,24.9
 - Lee County 2021 estimate based upon data representing 87.5% of population,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Leon County,2020,"299,484","9,163",,29,229,268,"1,279","1,359","5,288",711,"3,059.6",,19.2
FL037,2021,"295,921","8,624",-5.9,21,211,226,"1,375","1,052","4,921",818,"2,914.3",-4.7,18.9
 - Leon County 2021 estimate based upon data representing 100.0% of population,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Levy County,2020,"41,699","1,095",,1,33,6,425,233,340,57,"2,626.0",,47.3
FL038,2021,"43,577",--,--,--,--,--,--,--,--,--,--,--,--
 - Levy County 2021 estimate unavailable due to limited size of data sample (8.6% of population),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Liberty County,2020,"8,575",60,,0,0,0,6,6,48,0,699.7,,33.3
FL039,2021,"7,464",--,--,--,--,--,--,--,--,--,--,--,--
 - Liberty County 2021 estimate unavailable due to limited size of data sample (0.0% of population),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Madison County,2020,"18,954",294,,1,5,3,119,46,117,3,"1,551.1",,52.4
FL040,2021,"18,122",--,--,--,--,--,--,--,--,--,--,--,--
 -Madison County 2021 estimate unavailable due to limited size of data sample (0.0% of population),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Manatee County,2020,"403,120","8,064",,15,219,239,"1,403",779,"4,884",525,"2,000.4",,30.3
FL041,2021,"415,971",--,--,--,--,--,--,--,--,--,--,--,--
 -Manatee County 2021 estimate unavailable due to limited size of data sample (19.5% of population),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Marion County,2020,"368,135","7,569",,19,184,136,"1,218","1,141","4,289",582,"2,056.0",,43.7
FL042,2021,"381,176",--,--,--,--,--,--,--,--,--,--,--,--
 -Marion County 2021 estimate unavailable due to limited size of data sample (2.0% of population),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Martin County,2020,"161,301","2,132",,5,77,44,229,211,"1,477",89,"1,321.8",,18.2
FL043,2021,"159,053","1,819",-14.7,4,105,19,247,165,"1,189",90,"1,143.6",-13.5,18.2
 - Martin County 2021 estimate based upon data representing 100.0% of population,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Monroe County,2020,"77,823","1,277",,4,40,33,220,103,794,83,"1,640.9",,39.8
FL044,2021,"83,411",--,--,--,--,--,--,--,--,--,--,--,--
 - Monroe County 2021 estimate unavailable due to limited size of data sample (32.0% of population),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Nassau County,2020,"89,258","1,192",,1,32,9,127,316,595,112,"1,335.5",,25.9
FL045,2021,"93,012","1,000",-16.1,5,27,0,113,293,471,91,"1,075.1",-19.5,26.9
 - Nassau County 2021 estimate based upon data representing 100.0% of population,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Okaloosa County,2020,"203,951","3,723",,9,94,43,514,427,"2,331",305,"1,825.4",,31.5
FL046,2021,"213,204","3,491",-6.2,9,135,41,488,309,"2,317",192,"1,637.4",-10.3,29.2
 - Okaloosa County 2021 estimate based upon data representing 92.1% of population,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Okeechobee County,2020,"42,112","1,245",,4,20,23,157,187,757,97,"2,956.4",,24.7
FL047,2021,"39,148",989,-20.6,1,31,18,96,170,561,112,"2,526.3",-14.5,28.4
 - Okeechobee County 2021 estimate based upon data representing 100.0% of population,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Orange County,2020,"1,415,260","39,690",,111,659,"1,438","5,634","4,240","24,253","3,355","2,804.4",,25.3
FL048,2021,"1,457,940","37,067",-6.6,96,741,"1,322","5,414","3,481","23,067","2,946","2,542.4",-9.3,22.3
 - Orange County 2021 estimate based upon data representing 90.9% of population,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Osecola County,2020,"387,055","7,433",,15,128,149,860,"1,109","4,703",469,"1,920.4",,26.4
FL049,2021,"406,460","6,963",-6.3,14,119,141,920,"1,039","4,194",536,"1,713.1",-10.8,23.0
 - Osceola County 2021 estimate based upon data representing 80.1% of population,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Palm Beach County,2020,"1,466,494","33,719",,89,537,"1,096","3,839","3,156","22,227","2,775","2,299.3",,21.0
FL050,2021,"1,502,495","27,447",-18.6,105,540,870,"4,014","2,414","17,390","2,114","1,826.8",-20.6,20.7
 - Palm Beach County 2021 estimate based upon data representing 64.2% of population,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Pasco County,2020,"542,638","8,620",,15,205,231,"1,238","1,037","5,255",639,"1,588.5",,34.9
FL051,2021,"575,891","8,017",-7.0,11,235,204,"1,291",861,"4,778",637,"1,392.1",-12.4,35.6
 - Pasco County 2021 estimate based upon data representing 98.7% of population,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Pinellas County,2020,"984,054","22,163",,27,450,591,"2,620","2,180","14,836","1,459","2,252.2",,24.1
FL052,2021,"964,490","21,667",-2.2,67,486,484,"2,590","2,026","14,378","1,636","2,246.5",-0.3,21.6
 - Pinellas County 2021 estimate based upon data representing 53.5% of population,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
